ID,Name,Volume,Price,Sale Price,Sale Ends,Proof,Type,Category,url,image,relative_1,relative_2,relative_3
2454,Clynelish Single Malt Scotch,750mL,$59.99 ,-,-,92,Whiskey Imported,Single Malt Whiskey,/products/detail/2454/clynelish_single_malt_scotch,FALSE,1728,1893,759
5124,Cointreau Liqueur,1.75L,$74.99 ,$68.99 ,10/30/2016,80,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5124/cointreau_liqueur,FALSE,8612,5929,8420
5233,Cointreau Liqueur,375mL,$21.99 ,$19.99 ,10/30/2016,80,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5233/cointreau_liqueur,FALSE,8212,5431,5953
5242,Cointreau Liqueur,750mL,$33.99 ,$29.99 ,10/30/2016,80,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5242/cointreau_liqueur,TRUE,8658,8369,6950
1084,Cointreau Liqueur W/ Holiday Carafe,750mL,$33.99 ,$29.99 ,10/30/2016,80,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/1084/cointreau_liqueur_w_holiday_carafe,FALSE,8658,8369,6950
5188,Cointreau Noir Liqueur & Cognac,750mL,$36.99 ,$31.99 ,10/30/2016,80,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5188/cointreau_noir_liqueur_cognac,TRUE,443,653,7278
3390,Cold River Blueberry Vodka,750mL,$34.99 ,-,-,80,Vodka American,Vodka American Flavored,/products/detail/3390/cold_river_blueberry_vodka,FALSE,3939,3145,9037
211,Cold River Gin,750mL,$29.99 ,-,-,94,Gin American,Gin American,/products/detail/211/cold_river_gin,FALSE,9092,2202,2199
3174,Cold River Vodka,750mL,$34.99 ,-,-,80,Vodka American,Vodka American,/products/detail/3174/cold_river_vodka,FALSE,3676,3379,3773
1985,Collier & Mckeel Tennessee Whiskey,750mL,$48.99 ,-,-,86,Whiskey American,Tennessee Whiskey,/products/detail/1985/collier_mckeel_tennessee_whiskey,FALSE,1237,1927,1545
2884,Comandon Xo Single Barrel Cognac,750mL,$129.99 ,-,-,86,Brandy Imported,Cognac,/products/detail/2884/comandon_xo_single_barrel_cognac,FALSE,4605,4625,4528
3419,Combier Liqueur D'orange L'original,750mL,$29.99 ,$26.99 ,10/30/2016,40,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/3419/combier_liqueur_d_orange_l_original,FALSE,5242,1084,5342
2159,Connemara Irish Whiskey,750mL,$44.99 ,-,-,80,Whiskey Imported,Irish Whiskey,/products/detail/2159/connemara_irish_whiskey,FALSE,233,2852,3620
8048,Coole Swan Irish Cream Liqueur,750mL,$27.99 ,$24.99 ,10/30/2016,32,Cordials Liqueurs & Specialtie,Dairy Cream Imported,/products/detail/8048/coole_swan_irish_cream_liqueur,TRUE,8173,8517,8515
8059,Corazon De Agave Anejo Tequila,750mL,$31.99 ,$27.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/8059/corazon_de_agave_anejo_tequila,FALSE,8454,8238,9256
8057,Corazon De Agave Blanco Tequila,750mL,$21.99 ,$19.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/8057/corazon_de_agave_blanco_tequila,FALSE,8273,3425,3617
2879,Corner Creek Rsv Bourbon,750mL,$34.99 ,-,-,88,Whiskey American,Bourbon Whiskey,/products/detail/2879/corner_creek_rsv_bourbon,FALSE,515,2167,1964
998,Corralejo Blanco Tequila,750mL,$32.99 ,$24.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/998/corralejo_blanco_tequila,FALSE,8454,9256,5205
8144,Corralejo Reposado Tequila,750mL,$39.99 ,$29.99 ,10/30/2016,80,Tequila,Tequila Imported,/products/detail/8144/corralejo_reposado_tequila,FALSE,921,525,8284
3460,Corzo Anejo Tequila,750mL,$58.99 ,-,-,80,Tequila,Tequila Imported,/products/detail/3460/corzo_anejo_tequila,FALSE,3658,283,7909
4677,Courvoisier 12 Year Cognac,750mL,$49.99 ,$44.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4677/courvoisier_12_year_cognac,FALSE,782,4689,1620
4629,Courvoisier C Cognac,750mL,$36.99 ,$33.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4629/courvoisier_c_cognac,FALSE,3601,4664,4722
4815,Courvoisier Rose Cognac,750mL,$25.99 ,$18.49 *,-,72,Brandy Imported,Cognac,/products/detail/4815/courvoisier_rose_cognac,FALSE,4624,8483,4626
8170,Courvoisier Vs Cognac,50mL,$2.99 ,-,-,80,Brandy Imported,Cognac,/products/detail/8170/courvoisier_vs_cognac,FALSE,4683,4897,4626
4678,Courvoisier Vs Cognac,750mL,$27.99 ,$22.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4678/courvoisier_vs_cognac,FALSE,8483,4685,4624
4679,Courvoisier Vs Cognac,375mL,$13.49 ,$11.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4679/courvoisier_vs_cognac,FALSE,4638,4621,9388
4686,Courvoisier Vs Cognac,1.75L,$58.99 ,$49.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4686/courvoisier_vs_cognac,FALSE,4673,4732,9388
350,Courvoisier Vs W/2 Glasses,750mL,$27.99 ,$22.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/350/courvoisier_vs_w_2_glasses,FALSE,8483,4685,4624
4682,Courvoisier Vsop Cognac,750mL,$37.99 ,$34.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4682/courvoisier_vsop_cognac,TRUE,3601,4664,6525
1012,Courvoisier Vsop W/2 Coupe Glasses,750mL,$37.99 ,$34.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/1012/courvoisier_vsop_w_2_coupe_glasses,FALSE,3601,4664,6525
4625,Courvoisier Xo Cognac,750mL,$149.99 ,$139.99 ,10/30/2016,80,Brandy Imported,Cognac,/products/detail/4625/courvoisier_xo_cognac,FALSE,4528,4652,1523
2856,Cragganmore 12-yr Single Malt,750mL,$59.99 ,-,-,80,Whiskey Imported,Single Malt Whiskey,/products/detail/2856/cragganmore_12_yr_single_malt,FALSE,1728,1893,759
2329,Craigellachie 13 Year Single Malt,750mL,$54.99 ,$49.99 ,10/30/2016,92,Whiskey Imported,Single Malt Whiskey,/products/detail/2329/craigellachie_13_year_single_malt,FALSE,2426,1956,2237
2436,Crown Royal,375mL,$14.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2436/crown_royal,FALSE,2426,1956,2237
2432,Crown Royal,750mL,$26.99 ,$22.99 ,10/30/2016,80,Whiskey Imported,Canadian Fb,/products/detail/2432/crown_royal,TRUE,2418,2476,1532
8680,Crown Royal,1.75L,$46.99 ,$39.99 ,10/30/2016,80,Whiskey Imported,Canadian Fb,/products/detail/8680/crown_royal,TRUE,2494,2466,2496
2496,Crown Royal Black,1.75L,$52.99 ,-,-,90,Whiskey Imported,Canadian Fb,/products/detail/2496/crown_royal_black,FALSE,2494,2466,8680
2499,Crown Royal Black,750mL,$29.99 ,-,-,90,Whiskey Imported,Canadian Fb,/products/detail/2499/crown_royal_black,FALSE,2468,2418,2476
305,Crown Royal Canadian Whisky,Liter,$27.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/305/crown_royal_canadian_whisky,FALSE,2468,2418,2476
1489,Crown Royal Cornerstone Noble Collection,750mL,$59.99 ,-,-,80.6,Whiskey Imported,Canadian Fb,/products/detail/1489/crown_royal_cornerstone_noble_collection,FALSE,2909,2492,441
2492,Crown Royal Hand Select Barrel,750mL,$54.99 ,-,-,103,Whiskey Imported,Canadian Fb,/products/detail/2492/crown_royal_hand_select_barrel,FALSE,1489,2909,441
1532,Crown Royal Honey Limited Edition,750mL,$25.99 ,-,-,70,Whiskey Imported,Canadian Fb,/products/detail/1532/crown_royal_honey_limited_edition,FALSE,2418,2476,2432
2466,Crown Royal Maple Whisky,1.75L,$46.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2466/crown_royal_maple_whisky,FALSE,2494,2496,8680
2476,Crown Royal Maple Whisky,750mL,$26.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2476/crown_royal_maple_whisky,TRUE,2418,1532,2499
2465,Crown Royal Mini,50mL,$2.99 ,-,-,80,Whiskey Imported,Canadian Fb,/products/detail/2465/crown_royal_mini,FALSE,2508,2219,2499
